date,reported
15-Jan-21,251
16-Jan-21,162
17-Jan-21,95
18-Jan-21,332
19-Jan-21,252
20-Jan-21,241
21-Jan-21,252
22-Jan-21,239
23-Jan-21,175
24-Jan-21,104
25-Jan-21,271
26-Jan-21,234
27-Jan-21,224
28-Jan-21,213
29-Jan-21,229
30-Jan-21,153
31-Jan-21,83
1-Feb-21,290
2-Feb-21,191
3-Feb-21,322
4-Feb-21,331
5-Feb-21,524
6-Feb-21,466
7-Feb-21,431
8-Feb-21,717
9-Feb-21,1001
10-Feb-21,927
11-Feb-21,882
12-Feb-21,597
13-Feb-21,167
14-Feb-21,109
15-Feb-21,387
16-Feb-21,378
17-Feb-21,352
18-Feb-21,421
19-Feb-21,466
20-Feb-21,290
21-Feb-21,233
22-Feb-21,670
23-Feb-21,652
24-Feb-21,650
25-Feb-21,470
26-Feb-21,642
27-Feb-21,431
28-Feb-21,346
1-Mar-21,941
2-Mar-21,857
3-Mar-21,995
4-Mar-21,1275
5-Mar-21,1977
6-Mar-21,1217
7-Mar-21,836
8-Mar-21,1948
9-Mar-21,2261
10-Mar-21,1978
11-Mar-21,2261
12-Mar-21,2406
13-Mar-21,1748
14-Mar-21,1011
15-Mar-21,2896
16-Mar-21,2720
17-Mar-21,3171
18-Mar-21,3103
19-Mar-21,3109
20-Mar-21,2209
21-Mar-21,1315
22-Mar-21,3981
23-Mar-21,3567
24-Mar-21,3807
25-Mar-21,3817
26-Mar-21,4361
27-Mar-21,2816
28-Mar-21,1684
29-Mar-21,4307
30-Mar-21,4561
31-Mar-21,4488
